z,tracer,Hz_obs,sigma_Hz,E_obs,sigma_E,E_model,resid_sigma_E,exclude_reason_H,exclude_reason_E,Hz_model_Planck_67p4,resid_sigma_H_Planck_67p4,Hz_model_SH0ES_73p0,resid_sigma_H_SH0ES_73p0,preset
0.07,CC,69.0,19.6,1.0,0.4017186351088792,1.1324203649584448,0.3296346083685026,,,76.32513259819919,0.3737312550101627,82.66668664196646,0.6972799307125747,matter_only
0.1,CC,69.0,12.0,1.0,0.3330685779066255,1.1905895386528045,0.5722231134821596,,,80.24573490519903,0.9371445754332525,86.91303632165473,1.4927530268045608,matter_only
0.17,CC,83.0,8.0,1.2028985507246377,0.3608276691087927,1.3296518617937276,0.3512848983620286,,,89.61853548489725,0.8273169356121564,97.06458591094211,1.7580732388677642,matter_only
0.27,CC,77.0,14.0,1.1159420289855073,0.3763667026058524,1.536059927072699,1.1162461906922656,,,103.53043908469992,1.8950313631928515,112.13237467630702,2.50945533402193,matter_only
0.4,CC,95.0,17.0,1.3768115942028984,0.46222969504087397,1.817756513015012,0.9539519497403163,,,122.51678897721182,1.6186346457183423,132.69622545009588,2.2174250264762283,matter_only
0.48,CC,97.0,62.0,1.4057971014492754,0.983288439034621,1.9982694334507092,0.6025417451090088,,,134.6833598145778,0.6077961260415776,145.87366864190176,0.7882849780951896,matter_only
0.88,CC,90.0,40.0,1.3043478260869565,0.6879984058112288,2.9777410388030328,2.4322632125040378,,,200.69974601532442,2.7674936503831105,217.37509583262138,3.1843773958155346,matter_only
1.43,BAO,177.0,18.0,2.5652173913043477,0.7739596571843854,4.514618467612114,2.518737324629503,,,304.2852847170565,7.071404706503141,329.5671481356843,8.475952674204684,matter_only
1.53,BAO,140.0,14.0,2.028985507246377,0.6110209287911902,4.815695981043389,4.56074471836846,,,324.5779091223244,13.184136365880315,351.54580661616734,15.110414758297667,matter_only
2.34,BAO,222.0,7.0,,,,,outside_z_window,outside_z_window,,,,,matter_only
0.07,CC,69.0,19.6,1.0,0.4017186351088792,1.0954957105025598,0.23771790043217003,,,73.83641088787253,0.24675565754451692,79.97118686668686,0.5597544319738196,vacuum_plus_matter
0.1,CC,69.0,12.0,1.0,0.3330685779066255,1.1368875229372264,0.4109890035186756,,,76.62621904596907,0.6355182538307554,82.99278917441752,1.1660657645347936,vacuum_plus_matter
0.17,CC,83.0,8.0,1.2028985507246377,0.3608276691087927,1.2345331112083593,0.08767221361337314,,,83.20753169544342,0.02594146193042768,90.12091711821023,0.8901146397762787,vacuum_plus_matter
0.27,CC,77.0,14.0,1.1159420289855073,0.3763667026058524,1.376431416213838,0.6921159215859924,,,92.77147745281269,1.1265341037723349,100.47949338361018,1.6771066702578696,vacuum_plus_matter
0.4,CC,95.0,17.0,1.3768115942028984,0.46222969504087397,1.5648933407201484,0.40690104624415857,,,105.473811164538,0.616106539090471,114.23721387257083,1.1316008160335784,vacuum_plus_matter
0.48,CC,97.0,62.0,1.4057971014492754,0.983288439034621,1.6829358952485969,0.2818489293654388,,,113.42987933975544,0.2649980538670233,122.85432035314757,0.4170051669862512,vacuum_plus_matter
0.88,CC,90.0,40.0,1.3043478260869565,0.6879984058112288,2.2941112781747104,1.4386130021925116,,,154.62310014897548,1.6155775037243871,167.47012330675386,1.9367530826688466,vacuum_plus_matter
1.43,BAO,177.0,18.0,,,,,out_of_domain,out_of_domain,,,,,vacuum_plus_matter
1.53,BAO,140.0,14.0,,,,,out_of_domain,out_of_domain,,,,,vacuum_plus_matter
2.34,BAO,222.0,7.0,,,,,outside_z_window,outside_z_window,,,,,vacuum_plus_matter
