z,tracer,Hz_obs,sigma_Hz,E_obs,sigma_E,E_model,resid_sigma_E,exclude_reason_H,exclude_reason_E,Hz_model_Planck_67p4,resid_sigma_H_Planck_67p4,Hz_model_SH0ES_73p0,resid_sigma_H_SH0ES_73p0,preset,compare_window_policy
0.07,CC,69.0,19.6,1.0,0.4017186351088792,1.0954957105025598,0.23771790043217003,,,73.83641088787253,0.24675565754451692,79.97118686668686,0.5597544319738196,vacuum_plus_matter,z_le_1_0
0.1,CC,69.0,12.0,1.0,0.3330685779066255,1.1368875229372264,0.4109890035186756,,,76.62621904596907,0.6355182538307554,82.99278917441752,1.1660657645347936,vacuum_plus_matter,z_le_1_0
0.17,CC,83.0,8.0,1.2028985507246377,0.3608276691087927,1.2345331112083593,0.08767221361337314,,,83.20753169544342,0.02594146193042768,90.12091711821023,0.8901146397762787,vacuum_plus_matter,z_le_1_0
0.27,CC,77.0,14.0,1.1159420289855073,0.3763667026058524,1.376431416213838,0.6921159215859924,,,92.77147745281269,1.1265341037723349,100.47949338361018,1.6771066702578696,vacuum_plus_matter,z_le_1_0
0.4,CC,95.0,17.0,1.3768115942028984,0.46222969504087397,1.5648933407201484,0.40690104624415857,,,105.473811164538,0.616106539090471,114.23721387257083,1.1316008160335784,vacuum_plus_matter,z_le_1_0
0.48,CC,97.0,62.0,1.4057971014492754,0.983288439034621,1.6829358952485969,0.2818489293654388,,,113.42987933975544,0.2649980538670233,122.85432035314757,0.4170051669862512,vacuum_plus_matter,z_le_1_0
0.88,CC,90.0,40.0,1.3043478260869565,0.6879984058112288,2.2941112781747104,1.4386130021925116,,,154.62310014897548,1.6155775037243871,167.47012330675386,1.9367530826688466,vacuum_plus_matter,z_le_1_0
1.43,BAO,177.0,18.0,,,,,outside_z_window,outside_z_window,,,,,vacuum_plus_matter,z_le_1_0
1.53,BAO,140.0,14.0,,,,,outside_z_window,outside_z_window,,,,,vacuum_plus_matter,z_le_1_0
2.34,BAO,222.0,7.0,,,,,outside_z_window,outside_z_window,,,,,vacuum_plus_matter,z_le_1_0
