omega,X,alpha_eff,t_grut_s,enhancement
100.0,4190000000.0,1.8986752942472037e-20,83222212.8098608,5.266829999999999e+19
41762.5,1749848750000.0,1.0886235423729347e-25,14514839450397.904,9.185911943629688e+24
83425.0,3495507500000.0,2.7280873306029767e-26,57920418317305.555,3.6655718047668752e+25
125087.5,5241166250000.0,1.2134527598625503e-26,130216819822935.78,8.24094709804172e+25
166750.0,6986825000000.0,6.828400951238457e-27,231404043967288.53,1.4644717074187502e+26
208412.5,8732483750000.0,4.3712251156527545e-27,361482090750363.8,2.2876881733204217e+26
250075.0,10478142500000.0,3.0360585624128074e-27,520450960172161.75,3.293744107509188e+26
291737.5,12223801250000.0,2.2308285057776946e-27,708310652232682.1,4.482639509985047e+26
333400.0,13969460000000.0,1.708124446718818e-27,925061166931925.1,5.854374380748e+26
375062.5,15715118750000.0,1.3497191542543946e-27,1170702504269890.8,7.408948719798048e+26
416725.0,17460777500000.0,1.0933308154287852e-27,1445234664246579.0,9.146362527135189e+26
458387.5,19206436250000.0,9.036186109855314e-28,1748657646861989.2,1.1066615802759422e+27
500050.0,20952095000000.0,7.593182464564077e-28,2080971452116122.8,1.3169708546670752e+27
541712.5,22697753750000.0,6.470129680169701e-28,2442176080008978.5,1.5455640758869173e+27
583375.0,24443412500000.0,5.5789834304660855e-28,2832271530540557.0,1.792441243935469e+27
625037.5,26189071250000.0,4.860025532712824e-28,3251257803710857.5,2.0576023588127297e+27
666700.0,27934730000000.0,4.271592242153013e-28,3699134899519880.5,2.3410474205186997e+27
708362.5,29680388750000.0,3.7838993454251123e-28,4175902817967627.5,2.64277642905338e+27
750025.0,31426047500000.0,3.375197728396249e-28,4681561559054096.0,2.962789384416769e+27
791687.5,33171706250000.0,3.029305850188114e-28,5216111122779287.0,3.3010862866088674e+27
833350.0,34917365000000.0,2.733983063299848e-28,5779551509143200.0,3.657667135629675e+27
875012.5,36663023750000.0,2.4798315723024797e-28,6371882718145836.0,4.032531931479192e+27
916675.0,38408682500000.0,2.259539432745867e-28,6993104749787195.0,4.4256806741574187e+27
958337.5,40154341250000.0,2.067348695012701e-28,7643217604067276.0,4.8371133636643546e+27
1000000.0,41900000000000.0,1.8986752942472037e-28,8322221280986081.0,5.26683e+27
