m_kg,t_dp_s,t_grut_s,enhancement
1e-12,1.580119593946659e-06,8.287951353775759e+30,5.2451418142819e+36
1.3257113655901109e-12,8.990668799383254e-07,4.715733285800476e+30,5.245141814281901e+36
1.7575106248547894e-12,5.115570097976578e-07,2.683189062478711e+30,5.2451418142819e+36
2.329951810515372e-12,2.910690851953865e-07,1.5266986296031026e+30,5.2451418142819e+36
3.088843596477485e-12,1.6561440999506576e-07,8.686710669127457e+29,5.2451418142819e+36
4.094915062380419e-12,9.423238053468384e-08,4.9426219940179405e+29,5.245141814281901e+36
5.428675439323859e-12,5.361696208378211e-08,2.8122856978041277e+29,5.2451418142819e+36
7.1968567300115285e-12,3.0507333113967304e-08,1.6001528855829678e+29,5.245141814281901e+36
9.540954763499924e-12,1.735826383211085e-08,9.10465554491418e+28,5.245141814281901e+36
1.2648552168552957e-11,9.876619570106421e-09,5.180427029092012e+28,5.2451418142819e+36
1.67683293681101e-11,5.619664217348567e-09,2.947593576863874e+28,5.245141814281901e+36
2.222996482526191e-11,3.197513652478148e-09,1.677141256035038e+28,5.245141814281901e+36
2.94705170255181e-11,1.819342430855758e-09,9.542709058578814e+27,5.245141814281901e+36
3.906939937054621e-11,1.0351814692477722e-09,5.429673609721263e+27,5.245141814281901e+36
5.179474679231202e-11,5.890043875742179e-10,3.0894115420610335e+27,5.245141814281901e+36
6.866488450042999e-11,3.351356055801259e-10,1.7578337782830052e+27,5.245141814281901e+36
9.102981779915227e-11,1.9068766973048287e-10,1.0001838699713329e+27,5.245141814281901e+36
1.2067926406393264e-10,1.084987294152141e-10,5.690912224521971e+26,5.245141814281901e+36
1.5998587196060573e-10,6.173432346912733e-11,3.2380528140432426e+26,5.2451418142819014e+36
2.1209508879201926e-10,3.5126002993141353e-11,1.8424086706791692e+26,5.245141814281901e+36
2.8117686979742364e-10,1.998622511658695e-11,1.0483058506866138e+26,5.245141814281901e+36
3.727593720314938e-10,1.1371894333918097e-11,5.9647198478429235e+25,5.245141814281901e+36
4.941713361323838e-10,6.470455525614605e-12,3.393845683485254e+25,5.245141814281901e+36
6.551285568595495e-10,3.6816025087468475e-12,1.9310527262193238e+25,5.245141814281901e+36
8.68511373751352e-10,2.0947825046867164e-12,1.0987431307158467e+25,5.2451418142819e+36
1.151395399326448e-09,1.1919031811598777e-12,6.25170121407729e+24,5.245141814281901e+36
1.5264179671752366e-09,6.781769420360411e-13,3.557134236155072e+24,5.2451418142819e+36
2.0235896477251556e-09,3.8587359441544015e-13,2.0239617250956802e+24,5.245141814281901e+36
2.6826957952797275e-09,2.195569056359591e-13,1.1516071063655147e+24,5.245141814281901e+36
3.556480306223121e-09,1.2492493788144268e-13,6.55249015328524e+23,5.245141814281901e+36
4.71486636345739e-09,7.108061602288397e-14,3.728279112865448e+23,5.245141814281901e+36
6.250551925273976e-09,4.0443918243030006e-14,2.1213408670991525e+23,5.2451418142819e+36
8.28642772854686e-09,2.3012047649140915e-14,1.2070145335675652e+23,5.245141814281901e+36
1.0985411419875573e-08,1.3093546817699795e-14,6.867750991077491e+22,5.245141814281901e+36
1.4563484775012444e-08,7.450052723739052e-15,3.907658305988847e+22,5.2451418142819014e+36
1.9306977288832496e-08,4.238980190719812e-15,2.223405224825715e+22,5.2451418142819e+36
2.5595479226995333e-08,2.411922938485819e-15,1.2650877857477643e+22,5.245141814281901e+36
3.3932217718953296e-08,1.3723518392300412e-15,7.198180015852162e+21,5.245141814281901e+36
4.498432668969444e-08,7.808498109895802e-16,4.095667994295566e+21,5.245141814281901e+36
5.963623316594637e-08,4.442930813314974e-16,2.3303802186879866e+21,5.245141814281901e+36
7.906043210907701e-08,2.527968110395945e-16,1.3259551241008974e+21,5.2451418142819e+36
1.0481131341546853e-07,1.438379987378348e-16,7.544507016624446e+20,5.245141814281901e+36
1.389495494373136e-07,8.184189427003841e-17,4.292723417958168e+20,5.245141814281901e+36
1.8420699693267165e-07,4.6566941395759746e-17,2.4425021147811424e+20,5.245141814281901e+36
2.4420530945486497e-07,2.6495965792301967e-17,1.3897509808698592e+20,5.245141814281901e+36
3.23745754281764e-07,1.5075849566765e-17,7.907496894846278e+19,5.245141814281901e+36
4.2919342601287785e-07,8.577956430852615e-18,4.499259795655338e+19,5.245141814281901e+36
5.689866029018293e-07,4.880742289430741e-18,2.5600185467027157e+19,5.245141814281901e+36
7.543120063354607e-07,2.7770769749025e-18,1.4566162562540593e+19,5.245141814281901e+36
1e-06,1.5801195939466586e-18,8.287951353775757e+18,5.245141814281901e+36
