omega,X,alpha_eff,t_dp_s,t_grut_s,enhancement
100.0,1.32226344e+17,1.906526144397313e-35,1.5801195939466587e-12,8.287951353775758e+22,5.245141814281901e+34
120.67926406393289,1.595697788378443e+17,1.3091139750209158e-35,1.5801195939466587e-12,1.2070145335675704e+23,7.638754295507562e+34
145.63484775012444,1.925676347699558e+17,8.989015989270997e-36,1.5801195939466587e-12,1.7578337782830057e+23,1.112468818826853e+35
175.7510624854791,2.3238920446570454e+17,6.172297446758128e-36,1.5801195939466587e-12,2.5600185467027096e+23,1.6201422705660912e+35
212.09508879201903,2.804455817132405e+17,4.2382009128394574e-36,1.5801195939466587e-12,3.728279112865439e+23,2.359491729074336e+35
255.95479226995357,3.3843966411135424e+17,2.9101557616973816e-36,1.5801195939466587e-12,5.4296736097212745e+23,3.436242187314189e+35
308.88435964774817,4.084264959500287e+17,1.9982550925521156e-36,1.5801195939466587e-12,7.907496894846263e+23,5.004366077820565e+35
372.7593720314938,4.9288608955460275e+17,1.3720995513248734e-36,1.5801195939466587e-12,1.1516071063655148e+24,7.288100918292838e+35
449.8432668969444,5.948113055479918e+17,9.421505721481424e-37,1.5801195939466587e-12,1.677141256035031e+24,1.0614014676231194e+36
542.867543932386,7.178139061043878e+17,6.46926602185662e-37,1.5801195939466587e-12,2.442502114781143e+24,1.5457704113905168e+36
655.1285568595509,8.662525392353454e+17,4.44211404193341e-37,1.5801195939466587e-12,3.557134236155087e+24,2.251180385195051e+36
790.6043210907702,1.0453871892843464e+18,3.050172476270958e-37,1.5801195939466587e-12,5.180427029092013e+24,3.278503126559478e+36
954.0954763499944,1.2615655666469824e+18,2.094397407895358e-37,1.5801195939466587e-12,7.544507016624449e+24,4.774643036847966e+36
1151.395399326447,1.5224480415135613e+18,1.4381155611113503e-37,1.5801195939466587e-12,1.0987431307158445e+25,6.953544117325437e+36
1389.4954943731375,1.8372790922543255e+18,9.87480389019819e-38,1.5801195939466587e-12,1.6001528855829715e+25,1.0126783388504637e+37
1676.8329368110067,2.2172148873330243e+18,6.780522685848569e-38,1.5801195939466587e-12,2.330380218687978e+25,1.4748125569833586e+37
2023.5896477251556,2.6757186087494523e+18,4.6558380707633736e-38,1.5801195939466587e-12,3.3938456834852536e+25,2.1478410219624315e+37
2442.05309454865,3.229037525460543e+18,3.196925833816718e-38,1.5801195939466587e-12,4.94262199401792e+25,3.128005002249704e+37
2947.0517025518097,3.8967787220740127e+18,2.195165431354658e-38,1.5801195939466587e-12,7.19818001585216e+25,4.5554653226426325e+37
3556.4803062231285,4.702603883998847e+18,1.5073078080330414e-38,1.5801195939466587e-12,1.0483058506866178e+26,6.6343449869403125e+37
4291.934260128778,5.675067759051733e+18,1.0349911654518507e-38,1.5801195939466587e-12,1.5266986296031028e+26,9.661918220948539e+37
5179.474679231213,6.84863000675316e+18,7.106754883471674e-39,1.5801195939466587e-12,2.2234052248257153e+26,1.4071119890819938e+38
6250.55192527397,8.264876290611382e+18,4.879845032464503e-39,1.5801195939466587e-12,3.238052814043236e+26,2.0492454029733053e+38
7543.120063354615,9.97399188330429e+18,3.350739955341721e-39,1.5801195939466587e-12,4.715733285800486e+26,2.9844154226465965e+38
9102.981779915217,1.2036540002568018e+19,2.300781720245152e-39,1.5801195939466587e-12,6.867750991077477e+26,4.346348857002603e+38
10985.411419875572,1.4525607893859959e+19,1.579829110813343e-39,1.5801195939466587e-12,1.0001838699713326e+27,6.329798540585002e+38
13257.113655901081,1.752939670712274e+19,1.0847878342441519e-39,1.5801195939466587e-12,1.4566162562540528e+27,9.218392467470567e+38
15998.587196060573,2.1154346941003006e+19,7.448683134584629e-40,1.5801195939466587e-12,2.121340867099152e+27,1.3425191835009698e+39
19306.977288832495,2.5528910205933527e+19,5.114629671165543e-40,1.5801195939466587e-12,3.08941154206102e+27,1.955175768907851e+39
23299.51810515372,3.0808100960062837e+19,3.5119545563305417e-40,1.5801195939466587e-12,4.4992597956553384e+27,2.847417254296274e+39
